x, y, z
-0.03806399926543236, 0.02122800052165985, 0.9855159521102905
-0.03537999838590622, 0.02147199958562851, 0.9894199967384338
-0.03367199748754501, 0.023423999547958374, 0.9838079810142517
-0.039772000163793564, 0.02000799961388111, 0.9855159521102905
-0.03367199748754501, 0.022935999557375908, 0.9828319549560547
-0.03562399744987488, 0.022935999557375908, 0.9852719902992249
-0.039772000163793564, 0.01756799966096878, 0.9896639585494995
-0.026839999482035637, 0.0287919994443655, 0.9891759753227234
-0.03684400022029877, 0.01781199872493744, 0.9850279688835144
-0.031964000314474106, 0.023423999547958374, 0.9835639595985413
-0.03001200035214424, 0.02537599951028824, 0.9847840070724487
-0.038307998329401016, 0.01439599972218275, 0.9864919781684875
-0.030988000333309174, 0.029279999434947968, 0.9852719902992249
-0.03440399840474129, 0.019276000559329987, 0.9869799613952637
-0.03415999934077263, 0.025863999500870705, 0.9842959642410278
-0.031231999397277832, 0.017079999670386314, 0.9982039928436279
